"","V1","V2"
"1","X",NA
"2","ObservationID_obs","Observation ID as in TRY (ecoregion median per species, !not valid anymore! ; TRY-db.org); same for observed (obs), predicted (pred) and gap-filled (gf) data."
"3","ObservationID_pred","Observation ID as in TRY (ecoregion median per species, !not valid anymore! ; TRY-db.org); same for observed (obs), predicted (pred) and gap-filled (gf) data."
"4","ObservationID_gf","Observation ID as in TRY (ecoregion median per species, !not valid anymore! ; TRY-db.org); same for observed (obs), predicted (pred) and gap-filled (gf) data."
"5","AccSpeciesID.x_obs","AccSpeciesID refers to the Species ID as in TRY (TRY-db.org); same for observed (obs), predicted (pred) and gap-filled (gf) data."
"6","AccSpeciesID.y_obs","AccSpeciesID refers to the Species ID as in TRY (TRY-db.org); same for observed (obs), predicted (pred) and gap-filled (gf) data."
"7","AccSpeciesID.x_pred","AccSpeciesID refers to the Species ID as in TRY (TRY-db.org); same for observed (obs), predicted (pred) and gap-filled (gf) data."
"8","AccSpeciesID.y_pred","AccSpeciesID refers to the Species ID as in TRY (TRY-db.org); same for observed (obs), predicted (pred) and gap-filled (gf) data."
"9","AccSpeciesID.x_gf","AccSpeciesID refers to the Species ID as in TRY (TRY-db.org); same for observed (obs), predicted (pred) and gap-filled (gf) data."
"10","AccSpeciesID.y_gf","AccSpeciesID refers to the Species ID as in TRY (TRY-db.org); same for observed (obs), predicted (pred) and gap-filled (gf) data."
"11","PlantGrowthForm_obs","PlantGrowthForm_obs is the growth form as in the categorical data set provided by TRY(TRY-db.org); same for observed (obs), predicted (pred) and gap-filled (gf) data."
"12","PlantGrowthForm_pred","PlantGrowthForm_obs is the growth form as in the categorical data set provided by TRY(TRY-db.org); same for observed (obs), predicted (pred) and gap-filled (gf) data."
"13","PlantGrowthForm_gf","PlantGrowthForm_obs is the growth form as in the categorical data set provided by TRY(TRY-db.org); same for observed (obs), predicted (pred) and gap-filled (gf) data."
"14","Lat","Lat ist the latitudinal values (ecoregion median per species), where this individuals has been sampled.; same for observed (obs), predicted (pred) and gap-filled (gf) data."
"15","Lat_obs","Lat ist the latitudinal values (ecoregion median per species), where this individuals has been sampled.; same for observed (obs), predicted (pred) and gap-filled (gf) data."
"16","Lat_pred","Lat ist the latitudinal values (ecoregion median per species), where this individuals has been sampled.; same for observed (obs), predicted (pred) and gap-filled (gf) data."
"17","Lat_gf","Lat ist the latitudinal values (ecoregion median per species), where this individuals has been sampled.; same for observed (obs), predicted (pred) and gap-filled (gf) data."
"18","Lon","Lon ist the longitudinal values (ecoregion median per species), where this individuals has been sampled.; same for observed (obs), predicted (pred) and gap-filled (gf) data."
"19","Lon_obs","Lon ist the longitudinal values (ecoregion median per species), where this individuals has been sampled.; same for observed (obs), predicted (pred) and gap-filled (gf) data."
"20","Lon_pred","Lon ist the longitudinal values (ecoregion median per species), where this individuals has been sampled.; same for observed (obs), predicted (pred) and gap-filled (gf) data."
"21","Lon_gf","Lon ist the longitudinal values (ecoregion median per species), where this individuals has been sampled.; same for observed (obs), predicted (pred) and gap-filled (gf) data."
"22","ECO_NAME","ECO_NAME ist the name of the ecoregion according to Olson et al. 2001 in which this individual has been sampled."
"23","REALM","REALM ist the name of the realm according to Olson et al. 2001 in which this individual has been sampled."
"24","BIOME","BIOME ist the number of the biome according to Olson et al. 2001 in which this individual has been sampled."
"25","G200_BIOME","BIOME ist the number of the biome according to Olson et al. 2001 in which this individual has been sampled."
"26","ECO_ID","ECO_ID ist the ID of the ecoregion according to Olson et al. 2001 in which this individual has been sampled."
"27","Shape_Leng","Shape_Leng refers to the lengh of the ecoregion according to Olson et al. 2001 in which this individual has been sampled."
"28","Shape_Area","Shape_Area refers to the lengh of the ecoregion according to Olson et al. 2001 in which this individual has been sampled."
"29","area_km2","area_km2 refers to the area in km2 of the ecoregion according to Olson et al. 2001 in which this individual has been sampled."
"30","AWCh1_M_sl1_1km_ll.tif","Available water capacity (ecoregion median per species, SoilGrids), details in Supplement Tab 2 (Soil data)."
"31","AWCh1_M_sl2_1km_ll.tif","Available water capacity (ecoregion median per species, SoilGrids), details in Supplement Tab 2 (Soil data)."
"32","AWCh1_M_sl3_1km_ll.tif","Available water capacity (ecoregion median per species, SoilGrids), details in Supplement Tab 2 (Soil data)."
"33","AWCh1_M_sl4_1km_ll.tif","Available water capacity (ecoregion median per species, SoilGrids), details in Supplement Tab 2 (Soil data)."
"34","AWCh1_M_sl5_1km_ll.tif","Available water capacity (ecoregion median per species, SoilGrids), details in Supplement Tab 2 (Soil data)."
"35","AWCh1_M_sl6_1km_ll.tif","Available water capacity (ecoregion median per species, SoilGrids), details in Supplement Tab 2 (Soil data)."
"36","AWCh1_M_sl7_1km_ll.tif","Available water capacity (ecoregion median per species, SoilGrids), details in Supplement Tab 2 (Soil data)."
"37","AWCh2_M_sl1_1km_ll.tif","Available water capacity (ecoregion median per species, SoilGrids), details in Supplement Tab 2 (Soil data)."
"38","AWCh2_M_sl2_1km_ll.tif","Available water capacity (ecoregion median per species, SoilGrids), details in Supplement Tab 2 (Soil data)."
"39","AWCh2_M_sl3_1km_ll.tif","Available water capacity (ecoregion median per species, SoilGrids), details in Supplement Tab 2 (Soil data)."
"40","AWCh2_M_sl4_1km_ll.tif","Available water capacity (ecoregion median per species, SoilGrids), details in Supplement Tab 2 (Soil data)."
"41","AWCh2_M_sl5_1km_ll.tif","Available water capacity (ecoregion median per species, SoilGrids), details in Supplement Tab 2 (Soil data)."
"42","AWCh2_M_sl6_1km_ll.tif","Available water capacity (ecoregion median per species, SoilGrids), details in Supplement Tab 2 (Soil data)."
"43","AWCh2_M_sl7_1km_ll.tif","Available water capacity (ecoregion median per species, SoilGrids), details in Supplement Tab 2 (Soil data)."
"44","AWCh3_M_sl1_1km_ll.tif","Available water capacity (ecoregion median per species, SoilGrids), details in Supplement Tab 2 (Soil data)."
"45","AWCh3_M_sl2_1km_ll.tif","Available water capacity (ecoregion median per species, SoilGrids), details in Supplement Tab 2 (Soil data)."
"46","AWCh3_M_sl3_1km_ll.tif","Available water capacity (ecoregion median per species, SoilGrids), details in Supplement Tab 2 (Soil data)."
"47","AWCh3_M_sl4_1km_ll.tif","Available water capacity (ecoregion median per species, SoilGrids), details in Supplement Tab 2 (Soil data)."
