"","V1","V2"
"1","X",NA
"2","Group.1",NA
"3","Group.2",NA
"4","Lon",NA
"5","Lat",NA
"6","OBJECTID",NA
"7","AREA",NA
"8","PERIMETER",NA
"9","ECO_NAME",NA
"10","REALM",NA
"11","BIOME",NA
"12","ECO_NUM",NA
"13","ECO_ID",NA
"14","ECO_SYM",NA
"15","GBL_STAT",NA
"16","G200_REGIO",NA
"17","G200_NUM",NA
"18","G200_BIOME",NA
"19","G200_STAT",NA
"20","Shape_Leng",NA
"21","Shape_Area",NA
"22","area_km2",NA
"23","eco_code",NA
"24","PER_area",NA
"25","PER_area_1",NA
"26","PER_area_2",NA
"27","NA.",NA
"28","X_obs",NA
"29","AccSpeciesID.x_obs",NA
"30","AccSpeciesName_obs",NA
"31","Lat_obs",NA
"32","Lon_obs",NA
"33","AccSpeciesID.y_obs",NA
"34","Species_obs",NA
"35","Genus_obs",NA
"36","Family_obs",NA
"37","PhylogeneticGroup_obs",NA
"38","Exposition_obs",NA
"39","Maturity_obs",NA
"40","PlantGrowthForm_obs",NA
"41","LeafType_obs",NA
"42","LeafCompoundness_obs",NA
"43","TypicalNumberOfLeaflets_obs",NA
"44","DbComment_obs",NA
"45","ObservationID.1_obs",NA
"46","LeArea_obs",NA
"47","SSD_obs",NA
"48","SLA_obs",NA
"49","LeC_obs",NA
"50","LeN_obs",NA
"51","LeP_obs",NA
"52","PlantHeight_obs",NA
"53","SeedMass_obs",NA
"54","SeLen_obs",NA
"55","LeNArea_obs",NA
"56","LeNP_obs",NA
"57","Led15N_obs",NA
"58","SenbU_obs",NA
"59","LeFMass_obs",NA
"60","ConduitDens_obs",NA
"61","DispULen_obs",NA
"62","VesLen_obs",NA
"63","X_pred",NA
"64","AccSpeciesID.x_pred",NA
"65","AccSpeciesName_pred",NA
"66","Lat_pred",NA
"67","Lon_pred",NA
"68","AccSpeciesID.y_pred",NA
"69","Species_pred",NA
"70","Genus_pred",NA
"71","Family_pred",NA
"72","PhylogeneticGroup_pred",NA
"73","Exposition_pred",NA
"74","Maturity_pred",NA
"75","PlantGrowthForm_pred",NA
"76","LeafType_pred",NA
"77","LeafCompoundness_pred",NA
"78","TypicalNumberOfLeaflets_pred",NA
"79","DbComment_pred",NA
"80","ObservationID.1_pred",NA
"81","LeArea_pred",NA
"82","SSD_pred",NA
"83","SLA_pred",NA
"84","LeC_pred",NA
"85","LeN_pred",NA
"86","LeP_pred",NA
"87","PlantHeight_pred",NA
"88","SeedMass_pred",NA
"89","SeLen_pred",NA
"90","LeNArea_pred",NA
"91","LeNP_pred",NA
"92","Led15N_pred",NA
"93","SenbU_pred",NA
"94","LeFMass_pred",NA
"95","ConduitDens_pred",NA
"96","DispULen_pred",NA
"97","VesLen_pred",NA
"98","X_gf",NA
"99","AccSpeciesID.x_gf",NA
"100","AccSpeciesName_gf",NA
"101","Lat_gf",NA
