"","V1","V2"
"1","X",NA
"2","X.2",NA
"3","X.1",NA
"4","Group.1",NA
"5","Group.2",NA
"6","Lon",NA
"7","Lat",NA
"8","OBJECTID",NA
"9","AREA",NA
"10","PERIMETER",NA
"11","ECO_NAME",NA
"12","REALM",NA
"13","BIOME",NA
"14","ECO_NUM",NA
"15","ECO_ID",NA
"16","ECO_SYM",NA
"17","GBL_STAT",NA
"18","G200_REGIO",NA
"19","G200_NUM",NA
"20","G200_BIOME",NA
"21","G200_STAT",NA
"22","Shape_Leng",NA
"23","Shape_Area",NA
"24","area_km2",NA
"25","eco_code",NA
"26","PER_area",NA
"27","PER_area_1",NA
"28","PER_area_2",NA
"29","NA.",NA
"30","X.1_obs",NA
"31","AccSpeciesID.x_obs",NA
"32","AccSpeciesName_obs",NA
"33","Lat_obs",NA
"34","Lon_obs",NA
"35","X_obs",NA
"36","AccSpeciesID.y_obs",NA
"37","Species_obs",NA
"38","Genus_obs",NA
"39","Family_obs",NA
"40","PhylogeneticGroup_obs",NA
"41","Exposition_obs",NA
"42","Maturity_obs",NA
"43","PlantGrowthForm_obs",NA
"44","LeafType_obs",NA
"45","LeafCompoundness_obs",NA
"46","TypicalNumberOfLeaflets_obs",NA
"47","DbComment_obs",NA
"48","ObservationID.1_obs",NA
"49","LeArea_obs",NA
"50","SSD_obs",NA
"51","SLA_obs",NA
"52","LeC_obs",NA
"53","LeN_obs",NA
"54","LeP_obs",NA
"55","PlantHeight_obs",NA
"56","SeedMass_obs",NA
"57","SeLen_obs",NA
"58","LeNArea_obs",NA
"59","LeNP_obs",NA
"60","Led15N_obs",NA
"61","SenbU_obs",NA
"62","LeFMass_obs",NA
"63","ConduitDens_obs",NA
"64","DispULen_obs",NA
"65","VesLen_obs",NA
"66","X_pred",NA
"67","AccSpeciesID.x_pred",NA
"68","AccSpeciesName_pred",NA
"69","Lat_pred",NA
"70","Lon_pred",NA
"71","AccSpeciesID.y_pred",NA
"72","Species_pred",NA
"73","Genus_pred",NA
"74","Family_pred",NA
