"","info.Lon","info.Lat","info.ECO_NAME","info.BIOME","info.ECO_ID","info.max.lat","info.min.lat","info.max.lon","info.min.lon","info.species.count","info.observation.count.tot","info.Kier_richness","info.Kier_area","info.observation.count.tot.1","info.observation.count.tot.2","info.observation.count.LeArea","info.observation.count.SSD","info.observation.count.SLA","info.observation.count.LeC","info.observation.count.LeN","info.observation.count.LeP","info.observation.count.PlantHeight","info.observation.count.SeedMass","info.observation.count.SeLen","info.observation.count.LeNArea","info.observation.count.LeNP","info.observation.count.Led15N","info.observation.count.SenbU","info.observation.count.LeFMass","info.observation.count.ConduitDens","info.observation.count.VesLen","info.observation.count.DispULen","info.observation.count.tot.3","trait.LeArea","trait.SSD","trait.SLA","trait.LeC","trait.LeN","trait.LeP","trait.PlantHeight","trait.SeedMass","trait.SeLen","trait.LeNArea","trait.LeNP","trait.Led15N","trait.SenbU","trait.LeFMass","trait.ConduitDens","trait.DispULen","trait.VesLen","soil","climate.AnnualMeanTemperature.nc","climate.MaxTemperatureofWarmestMonth.nc","climate.MinTemperatureofColdestMonth.nc","climate.TemperatureSeasonality.nc","climate.MeanDiurnalRange.nc","climate.AnnualPrecipitation.nc","climate.PrecipitationofWettestMonth.nc","climate.PrecipitationofDriestMonth.nc","climate.PrecipitationSeasonality.nc","climate.vapr.mean.nc","climate.vapr.max.nc","climate.vapr.min.nc","climate.vapr.sd.nc","climate.srad.mean.nc","climate.srad.max.nc","climate.srad.min.nc","climate.srad.sd.nc","climate.wind.mean.nc","climate.wind.max.nc","climate.wind.min.nc","climate.wind.sd.nc"
"1",23.2,40.783333333,"Aegean and Western Turkey sclerophyllous and mixed forests",12,81201,41.16,37.97,24,22.57,59,98,2500,133558,98,98,9,0,61,40,67,66,70,37,0,62,6,0,0,0,0,0,0,98,404.2572,0.479,19.497,459.15,17.71465,1.56,0.41375,2.924,3.8613,1.010111649,12.5513,1.2203,110.0863,0.1022,42.1047,4.6381,532.0698,40.783333333,13.1708333616455,27.7000007629395,-3.09999990463257,784.11635527901,9.74166661004225,478,55,26,21.1658960012212,1.01666665077209,1.51999998092651,0.579999983310699,0.345960795879364,14325.75,23829,5179,6579.2568359375,2.125,2.40000009536743,1.79999995231628,0.220321774482727
"3",102.8,39.85,"Alashan Plateau semi-desert",13,81302,43.960556,39.7,107,99.160556,44,234,700,674352,234,234,6,0,2,0,85,197,6,0,0,0,37,0,0,0,0,0,0,234,114.011075,0.500025,11.12655,428.17745,21.571275,1.25916666675,0.419475,1.59065,2.701375,2.136425,17.281225,2.2066,305.57335,0.062025,64.6563,2.650675,355.90155,39.85,6.91250004371007,28.7000007629395,-16.6000003814697,1160.46228566354,14.012499922576,96,26,1,93.5483760646334,0.394166648387909,0.899999976158142,0.119999997317791,0.280013620853424,16609.916015625,24069.25,8177,5452.45849609375,3.34166669845581,4.19999980926514,2.70000004768372,0.451771169900894
"7",30.38,0.61,"Albertine Rift montane forests",1,30101,0.61,-2.58,30.38,29.25,42,42,3500,103404,42,42,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,3063.7937,0.5859,13.7712,462.62195,19.32635,1.39645,10.0666,63.69725,6.02865,1.73315,15.04205,2.31845,67.68175,0.9111,15.887,6.0541,552.3977,0.61,19.574999888738,25.3999996185303,13.3999996185303,42.4531757240897,10.6999999682109,1425,211,48,46.0525607732045,1.79583334922791,1.87999999523163,1.71000003814697,0.0548419393599033,16237.75,17210,15236,529.583190917969,2.15000009536743,2.40000009536743,2,0.150000035762787
"9",9.116666666,46,"Alps conifer and mixed forests",5,80501,48.055389,45,16.129944,6,1153,9020,5000,149871,9020,9020,5427,18,6399,1857,2064,92,904,37,0,293,12,0,0,5639,3,0,0,9020,531.7527,0.4202,20.0282,455.5035,24.0251,1.9911,0.3089,0.84315,2.3443,1.3078,11.0054,1.4708,365.7337,0.1355,73.4017,2.6829,446.6431,46,6.78749993195136,19.2999992370605,-6.30000019073486,673.688829479113,7.94166674030324,1159,135,56,27.7356129526879,0.744166672229767,1.24000000953674,0.379999995231628,0.310039192438126,13054.0830078125,22035,4387,6321.6396484375,2.07500004768372,2.40000009536743,1.79999995231628,0.246080383658409
"12",-48.3275,-22.9,"Alto Paraná Atlantic forests",1,60150,-19.92,-28.5,-47.05,-54.583333,116,305,6500,482879,305,305,120,0,2,0,176,3,7,0,0,2,4,158,0,0,0,0,0,305,3086.5,0.50805,15.89615,459.27645,22.4899,1.40905,4.62535,27.022425,4.1028,1.54755,15.5183,2.42735,181.97585,0.876075,18.857,5.04075,381.95755,-22.9,20.2291667461395,29.2999992370605,10.6000003814697,237.038327188848,11.8624998728434,1342,238,28,67.3674659628863,1.81000006198883,2.26249998807907,1.30499994754791,0.339852929115295,14907.0830078125,17414,11305,1941.72302246094,1.89583331346512,2.29999995231628,1.5,0.233494207262993
"14",-81.83,38.43,"Appalachian mixed mesophytic forests",4,50402,39.92,38.43,-79.534444,-82.6,63,833,2487,192264,833,833,6,0,0,0,15,15,9,0,0,0,2,0,0,0,0,0,0,833,925.013,0.3947,23.3987,445.07295,21.02025,1.8478,0.4282,0.71385,2.2351,0.95795,10.3053,1.2557,598.5479,0.1786,51.6659,1.9334,496.29185,38.43,12.4375001024455,30.2000007629395,-6.5,857.719298062684,13.0250002083679,1099,123,71,15.8238141513589,1.14499998092651,2.14000010490417,0.439999997615814,0.613195180892944,13617.25,20860,5510,5492.00830078125,2.25833344459534,2.90000009536743,1.70000004768372,0.419242054224014
"15",-79.6833,38.891389,"Appalachian-Blue Ridge forests",4,50403,40.82,35,-77.83,-84.333333333,90,623,2398,159343,623,623,382,0,426,36,161,36,60,0,0,129,25,8,0,0,0,0,0,623,2469.621425,0.517575,16.3733585825,468.70615,20.6057027775,1.6889,19.0531,21.8979,5.391375,1.22355,12.24125,1.395275,112.2937,0.4572,58.519,7.017,434.19555,38.891389,11.6499999997516,28.7999992370605,-6.69999980926514,837.77618555914,11.974999912704,1224,124.5,69.5,13.3778522843818,1.06354168057442,2.03999996185303,0.389999985694885,0.594658493995667,13990.25,20988,6270,5253.7939453125,2.60833334922791,3.29999995231628,1.79999995231628,0.488761186599731
"16",13.22,42.49,"Appenine deciduous montane forests",4,80401,44.11,41.85,13.633333333,11.12,44,703,2500,16147,703,703,496,0,603,60,67,2,305,0,0,4,2,0,0,570,0,0,0,703,2159.2387,0.470475,29.310115605,458.78705,22.46185,2.004175,0.40485,8.31955,4.3584,0.97135,10.40435,2.17905,60.45185,0.32235,63.8128,4.876025,539.26775,42.49,10.1041666616996,24.3999996185303,-3.90000009536743,684.380374768867,9.48333339206874,840,102,39,25.8943037167388,0.931666672229767,1.39999997615814,0.560000002384186,0.303832024335861,14314.75,24311,4940,6686.84619140625,2.10833334922791,2.5,1.89999997615814,0.244949012994766
"18",44.933333333,23.258333333,"Arabian Desert and East Sahero-Arabian xeric shrublands",13,81303,30.866666666,23.233333333,45.016666666,34.766666666,77,85,900,1847461,85,85,64,42,84,0,0,0,83,1,0,0,0,0,0,0,0,0,0,85,3817.883333,0.501312664,12.42310856,464.2864,24.0053,1.0743,9.3125,70.98705,8.5228,1.9614,20.4099,1.7312,62.7805,0.8651,22.6189,9.8686,386.2481,23.258333333,27.5166667699814,42.9500007629395,9.40000009536743,695.682331951467,14.6833336353302,125,40,0.5,106.477620776234,0.865416675806046,0.995000004768372,0.775000005960464,0.0652212388813496,19099.125,23700,13377.5,3149.94970703125,3.27916669845581,3.90000009536743,2.75,0.401106014847755
"19",-50.216666666,-29.466666666,"Araucaria moist forests",1,60101,-25.42,-29.466666666,-49.32,-50.216666666,49,49,4500,215673,49,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,3029.7788,0.5694,12.7117,485.1219,20.6599,1.0031,8.0828,32.3898,5.7836,1.5466,17.9793,1.8255,51.011,0.7174,30.3884,8.6585,533.9777,-29.466666666,15.0333333214124,23.3999996185303,6.69999980926514,304.118190993569,8.60000018278758,1988,190,132,10.0410068310811,1.40499997138977,1.85000002384186,1.02999997138977,0.282356142997742,13996,20166,8037,4199.5146484375,2.875,3.40000009536743,2.40000009536743,0.339423567056656
"21",-111.75,35.134,"Arizona Mountains forests",5,50503,35.53074751,31.883333333,-104.8,-113,283,4549,2204,109052,4549,4549,2061,627,2647,657,828,474,1934,154,0,114,0,132,0,0,0,0,0,4549,202.3741,0.4022,15.70125,443.4264,21.0741,1.8313,0.2153,0.8017,2.3305,1.4533,11.2046,1.6452,334.838,0.0751,77.4778,2.7606,413.28075,35.134,8.26666657812893,28.3999996185303,-11.8000001907349,727.747010492392,18.0166668693225,516,73,11,42.5359298668662,0.498333334922791,0.990000009536743,0.310000002384186,0.225725680589676,18750.75,28495,9898,6078.0419921875,3.54999995231628,4.19999980926514,3.09999990463257,0.381062060594559
"22",132.5,-12.5,"Arnhem Land tropical savanna",7,10701,-11.767222,-13.984117,132.841917,130.87,256,491,2500,157509,491,491,0,6,34,0,179,38,24,228,0,34,39,49,0,0,0,0,0,491,841.1948,0.55925,14.65455,461.4411,19.75675,1.28385,2.00115,6.926775,3.42985,1.51065,14.99665,2.08115,133.367,0.31875,23.47025,4.025,487.926375,-12.5,27.5499999523163,34.9000015258789,18.7999992370605,167.738974967251,11.5166668891907,1616,416,0,113.926709831074,2.43833327293396,3.09999990463257,1.62999999523163,0.531269431114197,20839.166015625,23738,18403,1706.42028808594,2.53333330154419,2.79999995231628,2.09999990463257,0.197202652692795
