"","Short.form","File.name","Description","Unit"
"73","C_concentration","ORCDRC_M_sl1_1km_ll.tif","Soil organic carbon content, at 0.00 m","‰ or g / kg"
"74","C_concentration_2","ORCDRC_M_sl2_1km_ll.tif","- at depth 0.05m","‰ or g / kg"
"75","C_concentration_3","ORCDRC_M_sl3_1km_ll.tif","- at depth 0.15m","‰ or g / kg"
"76","C_concentration_4","ORCDRC_M_sl4_1km_ll.tif","- at depth 0.30m","‰ or g / kg"
"77","C_concentration_5","ORCDRC_M_sl5_1km_ll.tif","- at depth 0.60m","‰ or g / kg"
"78","C_concentration_6","ORCDRC_M_sl6_1km_ll.tif","- at depth 1m","‰ or g / kg"
"79","C_concentration_7","ORCDRC_M_sl7_1km_ll.tif","- at depth 2m","‰ or g / kg"
"57","C_density","OCDENS_M_sl1_1km_ll.tif","Soil organic carbon density","kg m−3"
"58","C_density_2","OCDENS_M_sl2_1km_ll.tif","- at depth 0.05m","kg m−3"
"59","C_density_3","OCDENS_M_sl3_1km_ll.tif","- at depth 0.15m","kg m−3"
"60","C_density_4","OCDENS_M_sl4_1km_ll.tif","- at depth 0.30m","kg m−3"
"61","C_density_5","OCDENS_M_sl5_1km_ll.tif","- at depth 0.60m","kg m−3"
"62","C_density_6","OCDENS_M_sl6_1km_ll.tif","- at depth 1m","kg m−3"
"63","C_density_7","OCDENS_M_sl7_1km_ll.tif","- at depth 2m","kg m−3"
"67","C_stock","OCSTHA_M_sd1_1km_ll.tif","Soil organic carbon stock, at 0.00 m","t/ha"
"68","C_stock_2","OCSTHA_M_sd2_1km_ll.tif","- at depth 0.05m","t/ha"
"69","C_stock_3","OCSTHA_M_sd3_1km_ll.tif","- at depth 0.15m","t/ha"
"70","C_stock_4","OCSTHA_M_sd4_1km_ll.tif","- at depth 0.30m","t/ha"
"71","C_stock_5","OCSTHA_M_sd5_1km_ll.tif","- at depth 0.60m","t/ha"
"72","C_stock_6","OCSTHA_M_sd6_1km_ll.tif","- at depth 1m","t/ha"
"66","C_stocki_0.3m","OCSTHA_M_30cm_1km_ll.tif","Soil organic carbon stock, at 0.00 m","t/ha"
"64","C_stocki_1m","OCSTHA_M_100cm_1km_ll.tif","Soil organic carbon stock, at 0.00 m","t/ha"
"65","C_stocki_2m","OCSTHA_M_200cm_1km_ll.tif","Soil organic carbon stock, at 0.00 m","t/ha"
"36","CEC","CECSOL_M_sl1_1km_ll.tif","Cation exchange capacity of soil in cmolc/kg at depth 0.00 m","cmolc/kg"
"37","CEC_2","CECSOL_M_sl2_1km_ll.tif","- at depth 0.05m","cmolc/kg"
"38","CEC_3","CECSOL_M_sl3_1km_ll.tif","- at depth 0.15m","cmolc/kg"
"39","CEC_4","CECSOL_M_sl4_1km_ll.tif","- at depth 0.30m","cmolc/kg"
"40","CEC_5","CECSOL_M_sl5_1km_ll.tif","- at depth 0.60m","cmolc/kg"
"41","CEC_6","CECSOL_M_sl6_1km_ll.tif","- at depth 1m","cmolc/kg"
"42","CEC_7","CECSOL_M_sl7_1km_ll.tif","- at depth 2m","cmolc/kg"
"43","Clay","CLYPPT_M_sl1_1km_ll.tif","Weight percentage of the clay particles (<0.0002 mm), at 0.00 m","g 100 g-1"
"44","Clay_2","CLYPPT_M_sl2_1km_ll.tif","- at depth 0.05m","g 100 g-1"
"45","Clay_3","CLYPPT_M_sl3_1km_ll.tif","- at depth 0.15m","g 100 g-1"
"46","Clay_4","CLYPPT_M_sl4_1km_ll.tif","- at depth 0.30m","g 100 g-1"
"47","Clay_5","CLYPPT_M_sl5_1km_ll.tif","- at depth 0.60m","g 100 g-1"
"48","Clay_6","CLYPPT_M_sl6_1km_ll.tif","- at depth 1m","g 100 g-1"
"49","Clay_7","CLYPPT_M_sl7_1km_ll.tif","- at depth 2m","g 100 g-1"
"29","Density","BLDFIE_M_sl1_1km_ll.tif","Bulk density (fine earth)","kg m-3"
"30","Density_2","BLDFIE_M_sl2_1km_ll.tif","- at depth 0.05m","kg m-3"
"31","Density_3","BLDFIE_M_sl3_1km_ll.tif","- at depth 0.15m","kg m-3"
"32","Density_4","BLDFIE_M_sl4_1km_ll.tif","- at depth 0.30m","kg m-3"
"33","Density_5","BLDFIE_M_sl5_1km_ll.tif","- at depth 0.60m","kg m-3"
"34","Density_6","BLDFIE_M_sl6_1km_ll.tif","- at depth 1m","kg m-3"
"35","Density_7","BLDFIE_M_sl7_1km_ll.tif","- at depth 2m","kg m-3"
"50","Gravel","CRFVOL_M_sl1_1km_ll.tif","Volumetric percentage of coarse fragments (>2 mm), at 0.00 m","m3 100 m-3"
"51","Gravel_2","CRFVOL_M_sl2_1km_ll.tif","- at depth 0.05m","m3 100 m-3"
"52","Gravel_3","CRFVOL_M_sl3_1km_ll.tif","- at depth 0.15m","m3 100 m-3"
"53","Gravel_4","CRFVOL_M_sl4_1km_ll.tif","- at depth 0.30m","m3 100 m-3"
"54","Gravel_5","CRFVOL_M_sl5_1km_ll.tif","- at depth 0.60m","m3 100 m-3"
"55","Gravel_6","CRFVOL_M_sl6_1km_ll.tif","- at depth 1m","m3 100 m-3"
"56","Gravel_7","CRFVOL_M_sl7_1km_ll.tif","- at depth 2m","m3 100 m-3"
"80","pH","PHIKCL_M_sl1_1km_ll.tif","pH index measured in KCl solution, at 0.00 m","-log( H+ ions )"
