"","Name of the ecoregion / ID","Number of species (and observations)","Plant Richness","Lat (min; max)","Lon (min; max)","Area"
"1","Tapajós-Xingu moist forests/ 60168","1245 (23845)","5000","-2.5 (-4;-2)","-54.5 (-55;-54)","335099"
"2","Southwest Amazon moist forests/ 60166","1187 (1622)","8500","-6.8 (-13;-5)","-73.9 (-74;-66)","746653"
"3","Western European broadleaf forests/ 80445","1163 (9866)","2900","47.8 (43;52)","8 (1;16)","493836"
"4","Alps conifer and mixed forests/ 80501","1153 (9020)","5000","46 (45;48)","9.1 (6;16)","149871"
"5","Tocantins/Pindare moist forests/ 60170","1122 (20631)","4500","-3 (-3;-1)","-47.5 (-48;-47)","192766"
"6","Napo moist forests/ 60142","1113 (1348)","7000","-0.7 (-4;-1)","-76 (-78;-76)","250591"
"7","Sumatran lowland rain forests/ 40158","1093 (2503)","7500","-1.9 (-4;-1)","101.9 (100;105)","258288"
"8","Isthmian-Atlantic moist forests/ 60129","904 (8693)","8000","9.2 (9;11)","-79.8 (-85;-80)","58359"
"9","Guianan moist forests/ 60125","665 (18018)","8000","4.6 (4;6)","-52.7 (-59;-52)","476136"
"10","Central forest-grasslands transition/ 50804","628 (641)","2124","41.7 (39;42)","-87 (-95;-87)","407235"
"11","Einasleigh upland savanna/ 10705","550 (1317)","1600","-17.1 (-19;-17)","145.5 (144;146)","128067"
"12","Petén-Veracruz moist forests/ 60154","521 (631)","6500","18 (17;18)","-93.5 (-94;-89)","148595"
"13","Caucasus mixed forests/ 80408","510 (757)","5000","43 (41;44)","43 (40;45)","170538"
"14","Southeast Australia temperate savanna/ 10803","482 (994)","900","-30.5 (-36;-30)","145.1 (144;151)","321999"
"15","Atlantic mixed forests/ 80402","458 (7096)","1900","52.7 (44;56)","6.7 (-2;12)","400447"
"16","Jian Nan subtropical evergreen forests/ 40118","447 (1063)","5500","25 (23;30)","112.5 (108;122)","662292"
"17","Eastern Australian temperate forests/ 10402","430 (941)","3700","-33.1 (-35;-26)","151.3 (150;154)","221786"
"18","Sumatran montane rain forests/ 40159","430 (933)","3500","-5.1 (-5;3)","104.4 (99;104)","72618"
"19","Sarmatic mixed forests/ 80436","420 (1309)","1800","58.6 (56;60)","25.8 (8;56)","850317"
"20","Borneo lowland rain forests/ 40102","415 (869)","10000","3 (-1;6)","114.6 (112;118)","425583"
"21","Madeira-Tapajós moist forests/ 60135","415 (1182)","6000","-10.3 (-11;-3)","-58.8 (-63;-55)","716682"
"22","Upper Midwest forest-savanna transition/ 50415","404 (3064)","1420","44.7 (42;46)","-91.3 (-94;-88)","166477"
"23","Flint Hills tall grasslands/ 50807","397 (823)","1174","39.1 (39;39)","-96.6 (-97;-97)","29632"
"24","Northeastern Spain and Southern France Mediterranean forests/ 81215","386 (3990)","2800","43.6 (39;45)","3.9 (0;7)","90851"
"25","Iberian sclerophyllous and semi-deciduous forests/ 81209","377 (2729)","2500","40.7 (37;42)","-3.7 (-8;2)","297956"
"26","Azerbaijan shrub desert and steppe/ 81305","364 (667)","1500","38.9 (39;42)","46.8 (45;47)","64089"
"27","Eastern Himalayan broadleaf forests/ 40401","330 (564)","4500","27 (27;28)","92.6 (85;93)","82916"
"28","Sierra de los Tuxtlas/ 60161","325 (371)","2750","18.6 (18;19)","-95.1 (-95;-95)","3890"
"29","Queensland tropical rain forests/ 10117","302 (609)","4800","-17.1 (-21;-16)","145.6 (145;149)","32596"
"30","South Island montane grasslands/ 11003","302 (721)","850","-44.6 (-46;-42)","169 (168;172)","40006"
"31","Dry Chaco/ 60210","298 (564)","990","-31.4 (-32;-27)","-64.7 (-66;-64)","786790"
"32","Uatuma-Trombetas moist forests/ 60173","298 (871)","6500","-2.5 (-3;-1)","-60 (-60;-52)","470048"
"33","Mongolian-Manchurian grassland/ 80813","297 (3734)","1200","44.2 (40;49)","118.4 (106;125)","889460"
"34","Uruguayan savanna/ 60710","296 (695)","2500","-30 (-30;-30)","-51.1 (-52;-51)","352496"
"35","Iquitos varzeá/ 60128","292 (441)","3200","-8.5 (-10;-4)","-73.4 (-75;-67)","114506"
"36","Arizona Mountains forests/ 50503","283 (4549)","2204","35.1 (32;36)","-111.8 (-113;-105)","109052"
